"","Laneway_Name","Laneway_Climate"
"1","Banana Alley","Sunny-Exposed"
"2","Crossley Street","Shaded-Sheltered"
"3","Ulster Lane","Shaded-Sheltered"
"4","ACDC Lane","Shaded-Sheltered"
"5","George Parade","Shaded-Sheltered"
"6","Alfred Place","Shaded-Sheltered"
"7","Croft Alley","Shaded-Sheltered"
"8","Hosier Lane","Shaded-Sheltered"
"9","Degraves Street","Shaded-Sheltered"
"10","Manchester Lane","Shaded-Sheltered"
"11","Centre Place","Shaded-Sheltered"
"12","Balcombe Place","Shaded-Sheltered"
"13","Howey Place","Shaded-Sheltered"
"14","Presgrave Place","Shaded-Sheltered"
"15","Driver Lane","Shaded-Sheltered"
"16","Sutherland Street","Shaded-Sheltered"
"17","Little Queen Street","Shaded-Sheltered"
"18","Little William Street","Shaded-Sheltered"
"19","Grice Alley","Shaded-Sheltered"
"20","Kitz Lane","Shaded-Sheltered"
"21","Roeszler Lane","Shaded-Sheltered"
"22","Bank Place","Shaded-Sheltered"
"23","Hardware Street","Shaded-Sheltered"
"24","Niagara Lane","Shaded-Sheltered"
"25","Goldie Place","Shaded-Sheltered"
"26","Warburton Lane","Shaded-Sheltered"
"27","Penfold Place","Shaded-Sheltered"
"28","McKillop Street","Shaded-Sheltered"
"29","Equitable Place","Shaded-Sheltered"
"30","Fulham Place","Shaded-Sheltered"
"31","Mill Place","Shaded-Sheltered"
"32","Cl0496","Shaded-Sheltered"
"33","Bond Street","Shaded-Sheltered"
"34","Alsop Lane","Shaded-Sheltered"
"35","Brights Place","Shaded-Sheltered"
"36","Park Street","Shaded-Sheltered"
"37","Ramsay Lane","Shaded-Sheltered"
"38","Gresham Street","Shaded-Sheltered"
"39","Church Street","Shaded-Sheltered"
"40","St James Lane","Shaded-Sheltered"
"41","Mercantile Place","Shaded-Sheltered"
"42","Katherine Place","Shaded-Sheltered"
"43","Hay Place","Shaded-Sheltered"
"44","Langs Lane","Shaded-Sheltered"
"45","Rose Lane","Sunny-Sheltered"
"46","Altson Lane","Shaded-Sheltered"
"47","Nicholson Place","Shaded-Sheltered"
"48","Ph8014","Shaded-Sheltered"
"49","Grant Lane","Shaded-Sheltered"
"50","Stewart Street","Shaded-Sheltered"
"51","Cl0493","Shaded-Sheltered"
"52","Merritts Place","Shaded-Sheltered"
"53","Pl5250","Shaded-Sheltered"
"54","Harwood Place","Shaded-Sheltered"
"55","Celestial Avenue","Shaded-Exposed"
"56","Pl5184","Shaded-Sheltered"
"57","New Chancery Lane","Shaded-Sheltered"
