"","Laneway_Name","Laneway_Climate","Park_Potential"
"1","Banana Alley","Sunny-Exposed","High"
"2","Crossley Street","Shaded-Sheltered","High"
"3","Ulster Lane","Shaded-Sheltered","High"
"4","ACDC Lane","Shaded-Sheltered","High"
"5","George Parade","Shaded-Sheltered","High"
"6","Alfred Place","Shaded-Sheltered","High"
"7","Croft Alley","Shaded-Sheltered","High"
"8","Hosier Lane","Shaded-Sheltered","High"
"9","Degraves Street","Shaded-Sheltered","High"
"10","Manchester Lane","Shaded-Sheltered","High"
"11","Centre Place","Shaded-Sheltered","High"
"12","Balcombe Place","Shaded-Sheltered","High"
"13","Howey Place","Shaded-Sheltered","High"
"14","Presgrave Place","Shaded-Sheltered","High"
"15","Driver Lane","Shaded-Sheltered","High"
"16","Sutherland Street","Shaded-Sheltered","High"
"17","Little Queen Street","Shaded-Sheltered","High"
"18","Little William Street","Shaded-Sheltered","High"
"19","Grice Alley","Shaded-Sheltered","High"
"20","Kitz Lane","Shaded-Sheltered","High"
"21","Roeszler Lane","Shaded-Sheltered","High"
"22","Bank Place","Shaded-Sheltered","High"
"23","Hardware Street","Shaded-Sheltered","High"
"24","Niagara Lane","Shaded-Sheltered","High"
"25","Goldie Place","Shaded-Sheltered","High"
"26","Warburton Lane","Shaded-Sheltered","High"
"27","Penfold Place","Shaded-Sheltered","High"
"28","McKillop Street","Shaded-Sheltered","High"
"29","Equitable Place","Shaded-Sheltered","High"
"30","Fulham Place","Shaded-Sheltered","High"
"31","Mill Place","Shaded-Sheltered","High"
"32","Cl0496","Shaded-Sheltered","High"
"33","Bond Street","Shaded-Sheltered","High"
"34","Alsop Lane","Shaded-Sheltered","High"
"35","Brights Place","Shaded-Sheltered","High"
"36","Park Street","Shaded-Sheltered","High"
"37","Ramsay Lane","Shaded-Sheltered","High"
"38","Gresham Street","Shaded-Sheltered","High"
"39","Church Street","Shaded-Sheltered","High"
"40","St James Lane","Shaded-Sheltered","High"
"41","Mercantile Place","Shaded-Sheltered","High"
"42","Katherine Place","Shaded-Sheltered","High"
"43","Hay Place","Shaded-Sheltered","High"
"44","Langs Lane","Shaded-Sheltered","High"
"45","Rose Lane","Sunny-Sheltered","High"
"46","Altson Lane","Shaded-Sheltered","High"
"47","Nicholson Place","Shaded-Sheltered","High"
"48","Ph8014","Shaded-Sheltered","High"
"49","Grant Lane","Shaded-Sheltered","High"
"50","Stewart Street","Shaded-Sheltered","High"
"51","Cl0493","Shaded-Sheltered","High"
"52","Merritts Place","Shaded-Sheltered","High"
"53","Pl5250","Shaded-Sheltered","High"
"54","Harwood Place","Shaded-Sheltered","High"
"55","Celestial Avenue","Shaded-Exposed","High"
"56","Pl5184","Shaded-Sheltered","High"
"57","New Chancery Lane","Shaded-Sheltered","High"
