"","Laneway_Name","Laneway_Climate"
"1","Bourke Place","Shaded-Sheltered"
"2","Little Bourke Place","Shaded-Sheltered"
"3","Turnbull Alley","Shaded-Sheltered"
"4","Liverpool Street","Shaded-Sheltered"
"5","Windsor Place","Shaded-Sheltered"
"6","Throssell Lane","Shaded-Sheltered"
"7","Duckboard Place","Shaded-Sheltered"
"8","Beaney Lane","Shaded-Sheltered"
"9","Strachan Lane","Shaded-Sheltered"
"10","Melbourne Place","Shaded-Sheltered"
"11","Market Lane","Shaded-Sheltered"
"12","Paynes Place","Shaded-Sheltered"
"13","Brien Lane","Shaded-Sheltered"
"14","Corrs Lane","Shaded-Sheltered"
"15","Smythe Lane","Shaded-Sheltered"
"16","Hayward Lane","Shaded-Sheltered"
"17","Jones Lane","Shaded-Sheltered"
"18","Waratah Place","Shaded-Exposed"
"19","Heffernan Lane","Shaded-Exposed"
"20","Globe Alley","Shaded-Sheltered"
"21","Bullens Lane","Shaded-Sheltered"
"22","Dean Alley","Shaded-Sheltered"
"23","Hughs Alley","Shaded-Sheltered"
"24","La Trobe Place","Shaded-Sheltered"
"25","Russell Place","Shaded-Sheltered"
"26","Watson Place","Shaded-Sheltered"
"27","Degraves Street","Shaded-Sheltered"
"28","Lingham Lane","Shaded-Sheltered"
"29","Rothsay Lane","Shaded-Sheltered"
"30","Sugden Place","Shaded-Sheltered"
"31","Masons Lane","Shaded-Sheltered"
"32","Albion Alley","Shaded-Sheltered"
"33","Drewery Lane","Shaded-Sheltered"
"34","Drewery Alley","Shaded-Sheltered"
"35","Lonsdale Lane","Shaded-Sheltered"
"36","Barry Lane","Shaded-Sheltered"
"37","Crown Place","Shaded-Sheltered"
"38","Rankins Lane","Shaded-Sheltered"
"39","Moylans Lane","Shaded-Sheltered"
"40","Wicklow Lane","Shaded-Sheltered"
"41","Cl1611","Shaded-Sheltered"
"42","Griffin Lane","Sunny-Exposed"
"43","Pl5160","Shaded-Sheltered"
